forward_num_scale_length_10000,reverse_num_scale_length_10000,forward_rate_scale_length_10000,reverse_rate_scale_length_10000,organism_num_scale_length_10000,organism_rate_scale_length_10000,forward_num_scale_length_1000,reverse_num_scale_length_1000,forward_rate_scale_length_1000,reverse_rate_scale_length_1000,organism_num_scale_length_1000,organism_rate_scale_length_1000,forward_num_scale_length_100,reverse_num_scale_length_100,forward_rate_scale_length_100,reverse_rate_scale_length_100,organism_num_scale_length_100,organism_rate_scale_length_100,forward_num_scale_length_10,reverse_num_scale_length_10,forward_rate_scale_length_10,reverse_rate_scale_length_10,organism_num_scale_length_10,organism_rate_scale_length_10
997.4,0.0,6.14438192845448,0.0,997.4,6.14438192845448,997.9,0.0,5.41077129587066,0.0,997.9,5.41077129587066,998.0,0.0,5.10045097596702,0.0,998.0,5.10045097596702,998.5,0.0,4.74958398048433,0.0,998.5,4.74958398048433
992.2,0.0,6.13356563087381,0.0,992.2,6.13356563087381,998.4,0.0,5.41821655425272,0.0,998.4,5.41821655425272,997.8,0.0,5.08877645859014,0.0,997.8,5.08877645859014,998.6,0.0,4.75897169714805,0.0,998.6,4.75897169714805
995.0,0.0,6.15155912685099,0.0,995.0,6.15155912685099,998.4,0.0,5.40527470805821,0.0,998.4,5.40527470805821,998.3,0.0,5.06293438088836,0.0,998.3,5.06293438088836,998.8,0.0,4.7725076780187,0.0,998.8,4.7725076780187
993.8,0.0,6.14105171810229,0.0,993.8,6.14105171810229,998.2,0.0,5.4155558677855,0.0,998.2,5.4155558677855,998.5,0.0,5.06864806789049,0.0,998.5,5.06864806789049,998.0,0.0,4.79158873186467,0.0,998.0,4.79158873186467
994.9,0.0,6.1600885392281,0.0,994.9,6.1600885392281,998.1,0.0,5.41926162353919,0.0,998.1,5.41926162353919,998.3,0.0,5.05018036883,0.0,998.3,5.05018036883,998.2,0.0,4.79763914562001,0.0,998.2,4.79763914562001
995.1,0.0,6.16975944993153,0.0,995.1,6.16975944993153,998.5,0.0,5.38898972278369,0.0,998.5,5.38898972278369,998.7,0.0,5.05706417377915,0.0,998.7,5.05706417377915,997.9,0.0,4.8115480812059,0.0,997.9,4.8115480812059
994.4,0.0,6.15289615012409,0.0,994.4,6.15289615012409,998.2,0.0,5.41238745101847,0.0,998.2,5.41238745101847,998.1,0.0,5.04964177215805,0.0,998.1,5.04964177215805,997.8,0.0,4.80506170842381,0.0,997.8,4.80506170842381
992.5,0.0,6.16614305036767,0.0,992.5,6.16614305036767,998.5,0.0,5.41184570952542,0.0,998.5,5.41184570952542,997.5,0.0,5.03610552145632,0.0,997.5,5.03610552145632,998.5,0.0,4.81151793075641,0.0,998.5,4.81151793075641
995.7,0.0,6.18627153655834,0.0,995.7,6.18627153655834,998.2,0.0,5.43712611624863,0.0,998.2,5.43712611624863,997.9,0.0,5.05207140417525,0.0,997.9,5.05207140417525,998.2,0.0,4.82776512040826,0.0,998.2,4.82776512040826
996.6,0.0,6.17979495300928,0.0,996.6,6.17979495300928,997.3,0.0,5.44492155925347,0.0,997.3,5.44492155925347,998.2,0.0,5.05441195729924,0.0,998.2,5.05441195729924,998.2,0.0,4.86100607614583,0.0,998.2,4.86100607614583
993.5,0.0,6.18705916326203,0.0,993.5,6.18705916326203,998.7,0.0,5.4365674291526,0.0,998.7,5.4365674291526,998.6,0.0,5.05207041995755,0.0,998.6,5.05207041995755,998.3,0.0,4.87088769342123,0.0,998.3,4.87088769342123
997.7,0.0,6.17520723362635,0.0,997.7,6.17520723362635,997.9,0.0,5.45048607299408,0.0,997.9,5.45048607299408,998.2,0.0,5.0583082925622,0.0,998.2,5.0583082925622,998.0,0.0,4.90083889997699,0.0,998.0,4.90083889997699
996.4,0.0,6.17961663081507,0.0,996.4,6.17961663081507,998.0,0.0,5.44831064193102,0.0,998.0,5.44831064193102,998.1,0.0,5.05187832892319,0.0,998.1,5.05187832892319,998.1,0.0,4.89770657395767,0.0,998.1,4.89770657395767
993.8,0.0,6.18599536569544,0.0,993.8,6.18599536569544,998.0,0.0,5.44545009961932,0.0,998.0,5.44545009961932,998.6,0.0,5.09394143642641,0.0,998.6,5.09394143642641,998.1,0.0,4.90906548685941,0.0,998.1,4.90906548685941
994.9,0.0,6.19918242044395,0.0,994.9,6.19918242044395,998.0,0.0,5.46168894954387,0.0,998.0,5.46168894954387,998.2,0.0,5.10024894463089,0.0,998.2,5.10024894463089,998.3,0.0,4.90639718839971,0.0,998.3,4.90639718839971
996.9,0.0,6.19450754146935,0.0,996.9,6.19450754146935,998.4,0.0,5.46046431886849,0.0,998.4,5.46046431886849,998.1,0.0,5.11961126538606,0.0,998.1,5.11961126538606,998.0,0.0,4.8973616034271,0.0,998.0,4.8973616034271
